ds,y
2020-06-30,2.8398752
2020-07-01,5.772388
2020-07-02,1.606635
2020-07-03,2.409754
2020-07-04,0.06385539
2020-07-05,16.51365
2020-07-06,10.399425
2020-07-07,1.5712243
2020-07-08,1.5137109
2020-07-09,4.0785117
2020-07-10,1.8268071
2020-07-11,3.417331
2020-07-12,2.8301675
2020-07-13,0.3171496
2020-07-14,0.48086163
2020-07-15,0.4963291
2020-07-16,2.8727322
2020-07-17,15.995042
2020-07-18,4.6454835
2020-07-19,3.9593334
2020-07-20,4.2270417
2020-07-21,0.3514934
2020-07-22,0.025058165
2020-07-23,0.8889103
2020-07-24,0.6860673
2020-07-25,2.6863346
2020-07-26,4.221671
2020-07-27,0.9733874
2020-07-28,0.7607487
2020-07-29,4.2421703
2020-07-30,1.0716686
2020-07-31,4.306902
2020-08-01,4.7401443
2020-08-02,1.8660973
2020-08-03,0.37171522
2020-08-04,1.055871
2020-08-05,1.1814985
2020-08-06,1.3373798
2020-08-07,1.2958428
2020-08-08,2.2363145
2020-08-09,3.8056643
2020-08-10,0.6510206
2020-08-11,0.833445
2020-08-12,3.2884572
2020-08-13,7.0318313
2020-08-14,0.14061828
2020-08-15,0.76010823
2020-08-16,2.5624583
2020-08-17,1.883585
2020-08-18,2.198283
2020-08-19,0.03646968
2020-08-20,1.539394
2020-08-21,3.117688
2020-08-22,1.0093399
2020-08-23,0.92784625
2020-08-24,0.001459072
2020-08-25,0.20762904
2020-08-26,0.75120157
2020-08-27,0.03869951
2020-08-28,1.0024875
2020-08-29,2.4376643
2020-08-30,1.8825669
2020-08-31,2.4569046
2020-09-01,5.4406414
2020-09-02,4.2201395
2020-09-03,3.1348276
2020-09-04,1.4474397
2020-09-05,2.5725863
2020-09-06,0.4787582
2020-09-07,0.1762842
2020-09-08,0.061305955
2020-09-09,4.03437
2020-09-10,2.737091
2020-09-11,1.7976589
2020-09-12,0.25699505
2020-09-13,0.2500798
2020-09-14,2.8158896
2020-09-15,1.886928
2020-09-16,2.8475564
2020-09-17,0.16475292
2020-09-18,1.9746757
2020-09-19,1.414112
2020-09-20,0.8335207
2020-09-21,1.8039292
2020-09-22,0.9024797
2020-09-23,0.37799978
2020-09-24,0.87851447
2020-09-25,1.0731565
2020-09-26,1.3796326
2020-09-27,0.5890444
2020-09-28,1.7522427
2020-09-29,0.9515478
2020-09-30,0.91002756
2020-10-01,0.49085236
2020-10-02,1.6655723
2020-10-03,0.8260975
2020-10-04,1.1614531
2020-10-05,1.1875483
2020-10-06,0.19816
2020-10-07,0.94761485
2020-10-08,2.1010869
2020-10-09,1.0441859
2020-10-10,0.18089093
2020-10-11,0.4836612
2020-10-12,0.5910096
2020-10-13,0.37314966
2020-10-14,2.272256
2020-10-15,2.0835052
2020-10-16,0.69459844
2020-10-17,1.420082
2020-10-18,0.40067235
2020-10-19,1.8865596
2020-10-20,0.7438104
2020-10-21,2.4623487
2020-10-22,2.4584148
2020-10-23,1.8355776
2020-10-24,0.8863554
2020-10-25,5.162205
2020-10-26,0.6666548
2020-10-27,0.62448555
2020-10-28,0.65995353
2020-10-29,1.4808122
2020-10-30,3.0240545
2020-10-31,2.5311499
2020-11-01,1.2197672
2020-11-02,0.40734437
2020-11-03,0.52182
2020-11-04,0.72762305
2020-11-05,1.1824855
2020-11-06,3.2253716
2020-11-07,3.4204652
2020-11-08,2.6974087
2020-11-09,5.9050465
2020-11-10,3.067126
2020-11-11,3.1099882
2020-11-12,2.3759472
2020-11-13,1.3855861
2020-11-14,1.790455
2020-11-15,0.63554746
2020-11-16,2.3987792
2020-11-17,1.6654634
2020-11-18,0.62511927
2020-11-19,0.96787816
2020-11-20,1.5388832
2020-11-21,0.58791524
2020-11-22,0.34083533
2020-11-23,0.9683378
2020-11-24,2.4224107
2020-11-25,2.8942156
2020-11-26,1.529198
2020-11-27,1.4192171
2020-11-28,0.7579636
2020-11-29,1.9254855
2020-11-30,0.18218458
2020-12-01,1.9369305
2020-12-02,2.0158637
2020-12-03,2.9231424
2020-12-04,2.1380732
2020-12-05,1.2680452
2020-12-06,0.44348443
2020-12-07,0.27247986
2020-12-08,0.4251975
2020-12-09,0.6051269
2020-12-10,0.80578405
2020-12-11,0.4865954
2020-12-12,1.0011106
2020-12-13,3.2231703
2020-12-14,1.256759
2020-12-15,2.3506083
2020-12-16,2.7170973
2020-12-17,1.584562
2020-12-18,1.9944671
2020-12-19,1.3304988
2020-12-20,0.5379101
2020-12-21,1.0119747
2020-12-22,0.85182023
2020-12-23,1.6214533
2020-12-24,1.703309
2020-12-25,3.063893
2020-12-26,1.3494415
2020-12-27,2.0422163
2020-12-28,1.082842
2020-12-29,0.047158282
2020-12-30,2.611883
2020-12-31,2.8633912
2021-01-01,0.58820933
2021-01-02,0.3714478
2021-01-03,0.7347996
2021-01-04,2.168288
2021-01-05,0.5897501
2021-01-06,0.9519756
2021-01-07,1.285452
2021-01-08,0.40184474
2021-01-09,0.73730296
2021-01-10,0.78728676
2021-01-11,1.5381979
2021-01-12,1.9059788
2021-01-13,1.2040603
2021-01-14,1.9582357
2021-01-15,2.1508532
2021-01-16,0.67153543
2021-01-17,3.1010144
2021-01-18,3.6977165
2021-01-19,2.5221992
2021-01-20,4.186642
2021-01-21,1.4558268
2021-01-22,0.773706
2021-01-23,1.2377362
2021-01-24,2.7478988
2021-01-25,1.4470692
2021-01-26,3.5352046
2021-01-27,4.2249856
2021-01-28,2.2611763
2021-01-29,2.3294516
2021-01-30,2.033798
2021-01-31,1.2868699
2021-02-01,1.9037175
2021-02-02,1.5195297
2021-02-03,1.8530482
2021-02-04,1.4890417
2021-02-05,0.6540607
2021-02-06,0.2731278
2021-02-07,0.21970904
2021-02-08,0.4421564
2021-02-09,1.0698211
2021-02-10,2.5966542
2021-02-11,1.5825716
2021-02-12,1.4404169
2021-02-13,3.5542896
2021-02-14,2.395501
2021-02-15,2.7272282
2021-02-16,1.7298442
2021-02-17,1.0943683
2021-02-18,0.28202558
2021-02-19,0.2666839
2021-02-20,0.7387032
2021-02-21,1.443014
2021-02-22,0.7642432
2021-02-23,0.17985158
2021-02-24,1.8812637
2021-02-25,3.4971685
2021-02-26,11.033923
2021-02-27,4.760491
2021-02-28,4.614567
2021-03-01,8.50396
2021-03-02,2.8117588
2021-03-03,2.015939
2021-03-04,3.5649955
2021-03-05,2.0531218
2021-03-06,2.246113
2021-03-07,0.1830846
2021-03-08,0.9105666
2021-03-09,2.3758929
2021-03-10,1.6211916
2021-03-11,1.7527775
2021-03-12,1.8656029
2021-03-13,2.1286438
2021-03-14,0.63703525
2021-03-15,1.952332
2021-03-16,1.4123796
2021-03-17,0.06795808
2021-03-18,1.7702557
2021-03-19,2.6408439
2021-03-20,2.5509477
2021-03-21,3.546758
2021-03-22,1.7672111
2021-03-23,2.4381187
2021-03-24,4.534455
2021-03-25,2.3500426
2021-03-26,3.2427845
2021-03-27,6.743466
2021-03-28,3.621459
2021-03-29,2.4928281
2021-03-30,2.3582742
2021-03-31,1.4545177
2021-04-01,5.372873
2021-04-02,0.21863836
2021-04-03,5.339638
2021-04-04,4.203878
2021-04-05,1.8460356
2021-04-06,1.1416501
2021-04-07,0.8506508
2021-04-08,1.6815128
2021-04-09,4.251959
2021-04-10,5.6333184
2021-04-11,7.3660064
2021-04-12,2.5297282
2021-04-13,4.226973
2021-04-14,10.825419
2021-04-15,9.496252
2021-04-16,2.3230026
2021-04-17,9.094821
2021-04-18,8.998901
2021-04-19,2.6591263
2021-04-20,1.5865788
2021-04-21,0.77437854
2021-04-22,2.3702686
2021-04-23,0.9204569
2021-04-24,2.568412
2021-04-25,1.9170252
2021-04-26,1.4461056
2021-04-27,2.4296725
2021-04-28,3.6553128
2021-04-29,4.6525526
2021-04-30,4.0964866
2021-05-01,3.319357
2021-05-02,2.5160534
2021-05-03,2.6940534
2021-05-04,4.2736034
2021-05-05,2.284257
2021-05-06,3.158004
2021-05-07,1.9771982
2021-05-08,2.6152909
2021-05-09,3.340051
2021-05-10,3.3396616
2021-05-11,2.82802
2021-05-12,7.184213
2021-05-13,16.790634
2021-05-14,10.071023
2021-05-15,2.383978
2021-05-16,0.3227403
2021-05-17,1.0538079
2021-05-18,4.9854426
2021-05-19,3.9329681
2021-05-20,1.4076518
2021-05-21,3.323223
2021-05-22,0.6979025
2021-05-23,0.28604424
2021-05-24,2.3388565
2021-05-25,0.5889644
2021-05-26,2.2159421
2021-05-27,4.656109
2021-05-28,4.4452233
2021-05-29,0.92332584
2021-05-30,4.011883
2021-05-31,3.8718998
2021-06-01,7.08955
2021-06-02,1.092336
2021-06-03,1.5838505
2021-06-04,2.7998202
2021-06-05,3.6471252
2021-06-06,2.2567198
2021-06-07,1.5726103
2021-06-08,2.4093554
2021-06-09,2.1602285
2021-06-10,2.0912833
2021-06-11,1.2373766
2021-06-12,0.18761058
2021-06-13,0.086326025
2021-06-14,2.781974
2021-06-15,2.5494936
2021-06-16,2.2369854
2021-06-17,3.4386356
2021-06-18,22.44132
2021-06-19,8.879189
2021-06-20,4.5539665
2021-06-21,2.4413004
2021-06-22,2.2530797
2021-06-23,3.5149744
2021-06-24,11.941585
2021-06-25,1.4774772
2021-06-26,0.21744704
2021-06-27,4.427073
2021-06-28,0.9742389
2021-06-29,1.4384874
2021-06-30,12.5071335
2021-07-01,4.623257
2021-07-02,3.8777974
2021-07-03,5.782112
2021-07-04,2.9386857
2021-07-05,1.133852
2021-07-06,1.3056757
2021-07-07,0.1781857
2021-07-08,2.7732284
2021-07-09,2.8441188
2021-07-10,3.8450677
2021-07-11,2.1620748
2021-07-12,3.4372494
2021-07-13,0.5015959
2021-07-14,3.071624
2021-07-15,2.3404326
2021-07-16,4.8154483
2021-07-17,6.886673
2021-07-18,0.8260773
2021-07-19,3.2057087
