ds,mean,max,p90,p95
2020-05-25,17.390259,34.71194,31.127201,32.112957
2020-05-26,1.6315466,2.8984456,2.2424226,2.7002597
2020-05-27,1.1501598,1.6882114,1.4859427,1.6478298
2020-05-28,3.0786784,3.9968557,3.754773,3.9592955
2020-05-29,7.452945,14.138629,11.696489,12.911968
2020-05-30,13.059598,32.748543,26.05824,27.763569
2020-05-31,2.4712434,5.466958,4.5173774,5.302986
2020-06-01,2.2277772,3.2505393,3.187883,3.2454567
2020-06-02,2.1793394,3.5484555,2.8796327,3.2822156
2020-06-03,1.3849272,2.2678776,2.195147,2.231013
2020-06-04,2.3929594,2.8028502,2.7517462,2.7855873
2020-06-05,3.9019835,6.3240266,5.575782,5.736989
2020-06-06,6.8189545,12.273335,11.046133,11.346979
2020-06-07,28.201883,46.01688,37.728348,40.598587
2020-06-08,15.364891,38.7007,32.892853,36.84475
2020-06-09,5.4810624,8.354312,7.552847,7.6926312
2020-06-10,7.8374934,9.830188,9.243246,9.595523
2020-06-11,3.1895216,4.4883976,4.345355,4.452527
2020-06-12,2.1696532,3.3505943,2.8873758,3.0439894
2020-06-13,5.2731338,7.373042,6.713439,6.932807
2020-06-14,6.501494,11.685632,9.993203,10.606058
2020-06-15,9.71634,14.923272,13.5616,14.222447
2020-06-16,3.3526068,4.3995156,4.035276,4.159409
2020-06-17,4.4916587,6.050335,5.6598225,5.840087
2020-06-18,4.7314525,12.211392,10.406432,10.95956
2020-06-19,36.444576,43.99405,42.970863,43.565037
2020-06-20,3.931098,5.1725883,4.760375,4.930153
2020-06-21,1.3069146,1.7789259,1.706031,1.7355577
2020-06-22,0.12879802,0.23651123,0.22308342,0.22569
2020-06-23,1.631834,5.0995574,4.2261024,4.4920955
2020-06-24,1.6503569,3.426805,3.0683339,3.3442545
2020-06-25,1.9210757,3.1666756,2.817052,2.8525023
2020-06-26,4.485495,5.4713426,5.1239777,5.360395
2020-06-27,2.4619403,4.1321664,3.5768116,3.7026155
2020-06-28,8.386326,14.16575,12.961446,14.034423
